country_of_citizenship,continent,region,number_of_active_students,male,female,associate,bachelors,doctorate,flight_training,high_school,language_training,masters,other,other_vocational_school,primary,secondary,ak,al,ar,az,ca,co,ct,dc,de,fl,ga,gu,hi,ia,id,il,in,ks,ky,la,ma,md,me,mi,mn,mo,mp,ms,mt,nc,nd,ne,nh,nj,nm,nv,ny,oh,ok,or,pa,pr,ri,sc,sd,tn,tx,ut,va,vi,vt,wa,wi,wv,wy,month_year,date,active_students,flight_school
AFGHANISTAN,Asia,Southern Asia,338,191,147,32,175,21,3,0,17,36,7,0,7,40,1,2,0,1,22,2,12,6,0,6,6,0,1,7,2,4,16,2,13,0,41,4,7,3,5,7,0,1,2,17,1,2,4,7,5,1,30,7,2,1,18,0,4,1,1,0,17,5,25,0,15,1,1,0,0,april-2014,2014-04-01,NA,NA
ALBANIA,Europe,Southern Europe,767,367,399,135,353,81,0,0,55,99,26,2,1,15,0,0,1,8,28,4,15,6,3,32,6,0,0,5,10,36,8,0,6,0,115,6,6,55,16,9,0,5,0,11,0,0,5,29,1,0,161,12,7,5,54,0,6,1,0,1,52,12,16,0,1,8,2,3,0,april-2014,2014-04-01,NA,NA
ALGERIA,Africa,Northern Africa,303,221,82,44,45,20,3,0,94,66,28,2,0,1,0,1,0,3,44,3,1,11,1,7,3,0,0,7,1,8,3,3,0,1,19,4,1,1,1,1,0,3,0,3,0,0,0,6,0,0,79,2,1,0,6,0,1,1,3,0,24,1,42,0,1,2,3,1,0,april-2014,2014-04-01,NA,NA
ANDORRA,Europe,Southern Europe,8,3,5,0,3,0,0,0,2,0,2,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
ANGOLA,Africa,Central Africa,1428,783,643,360,494,7,8,0,408,57,16,2,7,69,0,0,1,23,60,35,5,17,0,144,29,0,0,7,2,15,30,7,0,37,37,21,0,15,3,7,0,2,0,13,1,0,1,8,0,3,47,2,85,9,31,0,0,23,0,1,646,6,41,0,0,7,1,5,1,april-2014,2014-04-01,NA,NA
ANGUILLA,North America,Caribbean,26,15,11,5,17,2,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4,1,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,april-2014,2014-04-01,NA,NA
ANTIGUA AND BARBUDA,North America,Caribbean,270,105,165,24,193,13,2,0,0,35,1,1,0,1,0,3,2,0,5,0,2,6,3,45,3,0,0,0,1,7,1,0,1,12,3,5,0,3,3,4,0,1,0,3,0,0,1,3,0,0,69,2,1,0,2,1,0,1,0,3,67,0,3,3,0,0,1,0,0,april-2014,2014-04-01,NA,NA
ARGENTINA,South America,South America,2030,1158,872,138,605,364,11,1,292,433,122,21,6,37,0,23,6,8,211,18,29,23,2,264,40,0,10,24,4,99,17,15,13,14,182,29,3,25,20,25,0,9,1,45,1,11,5,36,4,7,417,29,17,9,90,7,10,16,1,18,98,28,33,0,1,9,15,8,1,april-2014,2014-04-01,NA,NA
ARMENIA,Asia,Western Asia,253,121,132,35,37,65,0,0,14,81,14,2,1,4,0,1,0,3,50,2,3,4,0,3,3,0,1,3,0,16,3,2,0,1,29,4,0,12,1,3,0,2,0,5,0,2,0,3,0,0,35,8,1,1,12,0,0,3,0,2,7,18,3,0,1,5,0,0,1,april-2014,2014-04-01,NA,NA
ARUBA,North America,Caribbean,64,37,27,17,35,0,1,0,0,8,0,1,0,2,0,1,0,0,3,0,0,0,0,41,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,3,1,3,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,april-2014,2014-04-01,NA,NA
